Committee,Subcommittee,Full_Name,State
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Elissa Slotkin,MI
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Cindy Hyde-Smith,MS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Chairman,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Chuck Grassley,IA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Jerry Moran,KS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Mitch McConnell,KY
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Tommy Tuberville,AL
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,John Thune,SD
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,John Boozman,AR
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Ex Officio,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Cory A. Booker,NJ
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Ranking Member,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Richard J. Durbin,IL
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Adam B. Schiff,CA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,John Fetterman,PA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Elissa Slotkin,MI
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Conservation. Forestry. Natural Resources. and Biotechnology,Amy Klobuchar,MN
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Roger Marshall,KS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Chairman,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,James C. Justice,WV
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,John Hoeven,ND
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,John Thune,SD
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Joni Ernst,IA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Cindy Hyde-Smith,MS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,John Boozman,AR
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Ex Officio,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Michael F. Bennet,CO
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Ranking Member,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Ben Ray Lujan,NM
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Raphael G. Warnock,GA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Peter Welch,VT
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Adam B. Schiff,CA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Food and Nutrition. Specialty Crops. Organics. and Research,Amy Klobuchar,MN
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Mitch McConnell,KY
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Chairman,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Roger Marshall,KS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,John Hoeven,ND
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Tommy Tuberville,AL
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,James C. Justice,WV
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Chuck Grassley,IA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,John Boozman,AR
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Ex Officio,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Ben Ray Lujan,NM
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Ranking Member,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Raphael G. Warnock,GA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,John Fetterman,PA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Tina Smith,MN
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Cory A. Booker,NJ
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Livestock. Dairy. Poultry. and Food Safety,Amy Klobuchar,MN
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,John Hoeven,ND
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Chairman,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,John Thune,SD
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Deb Fischer,NE
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Joni Ernst,IA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Cindy Hyde-Smith,MS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,James C. Justice,WV
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,John Boozman,AR
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Ex Officio,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Elissa Slotkin,MI
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Ranking Member,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Peter Welch,VT
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Tina Smith,MN
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Richard J. Durbin,IL
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Cory A. Booker,NJ
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Rural Development. Energy. and Credit,Amy Klobuchar,MN
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Chairman,N/A
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Mitch McConnell,KY
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Lisa Murkowski,AK
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Lindsey Graham,SC
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Jerry Moran,KS
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,John Hoeven,ND
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,John Boozman,AR
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Shelley Moore Capito,WV
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,John Kennedy,LA
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Cindy Hyde-Smith,MS
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Bill Hagerty,TN
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Katie Boyd Britt,AL
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Markwayne Mullin,OK
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Deb Fischer,NE
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Mike Rounds,SD
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Patty Murray,WA
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Richard J. Durbin,IL
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Jack Reed,RI
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Jeanne Shaheen,NH
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Jeff Merkley,OR
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Christopher A. Coons,DE
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Brian Schatz,HI
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Tammy Baldwin,WI
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Christopher Murphy,CT
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Chris Van Hollen,MD
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Martin Heinrich,NM
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Gary C. Peters,MI
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Kirsten E. Gillibrand,NY
Committee on Appropriations,Subcommittee on Agriculture. Rural Development. Food and Drug Administration. and Related Agencies,Jon Ossoff,GA
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,John Hoeven,ND
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Chairman,N/A
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Mitch McConnell,KY
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Jerry Moran,KS
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Cindy Hyde-Smith,MS
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Deb Fischer,NE
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Markwayne Mullin,OK
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Mike Rounds,SD
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Jeanne Shaheen,NH
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Jeff Merkley,OR
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Tammy Baldwin,WI
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Martin Heinrich,NM
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Gary C. Peters,MI
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Kirsten E. Gillibrand,NY
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Jon Ossoff,GA
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Patty Murray,WA
Committee on Appropriations,Subcommittee on Commerce. Justice. Science. and Related Agencies,Ex Officio,N/A
Committee on Appropriations,Subcommittee on Department of Defense,Jerry Moran,KS
Committee on Appropriations,Subcommittee on Department of Defense,Chairman,N/A
Committee on Appropriations,Subcommittee on Department of Defense,Lisa Murkowski,AK
Committee on Appropriations,Subcommittee on Department of Defense,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Department of Defense,Lindsey Graham,SC
Committee on Appropriations,Subcommittee on Department of Defense,Shelley Moore Capito,WV
Committee on Appropriations,Subcommittee on Department of Defense,John Kennedy,LA
Committee on Appropriations,Subcommittee on Department of Defense,Bill Hagerty,TN
Committee on Appropriations,Subcommittee on Department of Defense,Katie Boyd Britt,AL
Committee on Appropriations,Subcommittee on Department of Defense,Deb Fischer,NE
Committee on Appropriations,Subcommittee on Department of Defense,Chris Van Hollen,MD
Committee on Appropriations,Subcommittee on Department of Defense,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Department of Defense,Jack Reed,RI
Committee on Appropriations,Subcommittee on Department of Defense,Jeanne Shaheen,NH
Committee on Appropriations,Subcommittee on Department of Defense,Christopher A. Coons,DE
Committee on Appropriations,Subcommittee on Department of Defense,Brian Schatz,HI
Committee on Appropriations,Subcommittee on Department of Defense,Jeff Merkley,OR
Committee on Appropriations,Subcommittee on Department of Defense,Gary C. Peters,MI
Committee on Appropriations,Subcommittee on Department of Defense,Kirsten E. Gillibrand,NY
Committee on Appropriations,Subcommittee on Department of Defense,Patty Murray,WA
Committee on Appropriations,Subcommittee on Department of Defense,Ex Officio,N/A
Committee on Appropriations,Subcommittee on Department of Homeland Security,Mitch McConnell,KY
Committee on Appropriations,Subcommittee on Department of Homeland Security,Chairman,N/A
Committee on Appropriations,Subcommittee on Department of Homeland Security,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Department of Homeland Security,Lisa Murkowski,AK
Committee on Appropriations,Subcommittee on Department of Homeland Security,Lindsey Graham,SC
Committee on Appropriations,Subcommittee on Department of Homeland Security,Jerry Moran,KS
Committee on Appropriations,Subcommittee on Department of Homeland Security,John Hoeven,ND
Committee on Appropriations,Subcommittee on Department of Homeland Security,John Boozman,AR
Committee on Appropriations,Subcommittee on Department of Homeland Security,Shelley Moore Capito,WV
Committee on Appropriations,Subcommittee on Department of Homeland Security,John Kennedy,LA
Committee on Appropriations,Subcommittee on Department of Homeland Security,Christopher A. Coons,DE
Committee on Appropriations,Subcommittee on Department of Homeland Security,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Department of Homeland Security,Richard J. Durbin,IL
Committee on Appropriations,Subcommittee on Department of Homeland Security,Patty Murray,WA
Committee on Appropriations,Subcommittee on Department of Homeland Security,Jack Reed,RI
Committee on Appropriations,Subcommittee on Department of Homeland Security,Brian Schatz,HI
Committee on Appropriations,Subcommittee on Department of Homeland Security,Tammy Baldwin,WI
Committee on Appropriations,Subcommittee on Department of Homeland Security,Jeanne Shaheen,NH
Committee on Appropriations,Subcommittee on Department of Homeland Security,Christopher Murphy,CT
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Katie Boyd Britt,AL
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Chairman,N/A
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Lisa Murkowski,AK
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Shelley Moore Capito,WV
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,John Kennedy,LA
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Cindy Hyde-Smith,MS
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Bill Hagerty,TN
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Ex Officio,N/A
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Christopher Murphy,CT
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Patty Murray,WA
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Jeanne Shaheen,NH
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Gary C. Peters,MI
Committee on Appropriations,Subcommittee on Department of Interior. Environment. and Related Agencies,Chris Van Hollen,MD
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Lisa Murkowski,AK
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Chairman,N/A
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Mitch McConnell,KY
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Shelley Moore Capito,WV
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,John Hoeven,ND
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Deb Fischer,NE
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Markwayne Mullin,OK
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Mike Rounds,SD
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Ex Officio,N/A
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Jeff Merkley,OR
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Chris Van Hollen,MD
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Martin Heinrich,NM
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Tammy Baldwin,WI
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Kirsten E. Gillibrand,NY
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Jon Ossoff,GA
Committee on Appropriations,Subcommittee on Departments of Labor. Health and Human Services. and Education. and Related Agencies,Patty Murray,WA
Committee on Appropriations,Subcommittee on Energy and Water Development,Shelley Moore Capito,WV
Committee on Appropriations,Subcommittee on Energy and Water Development,Chairman,N/A
Committee on Appropriations,Subcommittee on Energy and Water Development,Lindsey Graham,SC
Committee on Appropriations,Subcommittee on Energy and Water Development,Jerry Moran,KS
Committee on Appropriations,Subcommittee on Energy and Water Development,John Kennedy,LA
Committee on Appropriations,Subcommittee on Energy and Water Development,Cindy Hyde-Smith,MS
Committee on Appropriations,Subcommittee on Energy and Water Development,John Boozman,AR
Committee on Appropriations,Subcommittee on Energy and Water Development,Katie Boyd Britt,AL
Committee on Appropriations,Subcommittee on Energy and Water Development,Markwayne Mullin,OK
Committee on Appropriations,Subcommittee on Energy and Water Development,Mike Rounds,SD
Committee on Appropriations,Subcommittee on Energy and Water Development,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Energy and Water Development,Ex Officio,N/A
Committee on Appropriations,Subcommittee on Energy and Water Development,Tammy Baldwin,WI
Committee on Appropriations,Subcommittee on Energy and Water Development,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Energy and Water Development,Patty Murray,WA
Committee on Appropriations,Subcommittee on Energy and Water Development,Richard J. Durbin,IL
Committee on Appropriations,Subcommittee on Energy and Water Development,Jack Reed,RI
Committee on Appropriations,Subcommittee on Energy and Water Development,Jeanne Shaheen,NH
Committee on Appropriations,Subcommittee on Energy and Water Development,Jeff Merkley,OR
Committee on Appropriations,Subcommittee on Energy and Water Development,Brian Schatz,HI
Committee on Appropriations,Subcommittee on Energy and Water Development,Christopher Murphy,CT
Committee on Appropriations,Subcommittee on Financial Services and General Government,John Kennedy,LA
Committee on Appropriations,Subcommittee on Financial Services and General Government,Chairman,N/A
Committee on Appropriations,Subcommittee on Financial Services and General Government,Mitch McConnell,KY
Committee on Appropriations,Subcommittee on Financial Services and General Government,Lisa Murkowski,AK
Committee on Appropriations,Subcommittee on Financial Services and General Government,Lindsey Graham,SC
Committee on Appropriations,Subcommittee on Financial Services and General Government,John Hoeven,ND
Committee on Appropriations,Subcommittee on Financial Services and General Government,Cindy Hyde-Smith,MS
Committee on Appropriations,Subcommittee on Financial Services and General Government,Bill Hagerty,TN
Committee on Appropriations,Subcommittee on Financial Services and General Government,Katie Boyd Britt,AL
Committee on Appropriations,Subcommittee on Financial Services and General Government,Mike Rounds,SD
Committee on Appropriations,Subcommittee on Financial Services and General Government,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Financial Services and General Government,Ex Officio,N/A
Committee on Appropriations,Subcommittee on Financial Services and General Government,Patty Murray,WA
Committee on Appropriations,Subcommittee on Financial Services and General Government,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Financial Services and General Government,Richard J. Durbin,IL
Committee on Appropriations,Subcommittee on Financial Services and General Government,Jeff Merkley,OR
Committee on Appropriations,Subcommittee on Financial Services and General Government,Christopher A. Coons,DE
Committee on Appropriations,Subcommittee on Financial Services and General Government,Tammy Baldwin,WI
Committee on Appropriations,Subcommittee on Financial Services and General Government,Martin Heinrich,NM
Committee on Appropriations,Subcommittee on Financial Services and General Government,Gary C. Peters,MI
Committee on Appropriations,Subcommittee on Financial Services and General Government,Jon Ossoff,GA
Committee on Appropriations,Subcommittee on Legislative Branch,Bill Hagerty,TN
Committee on Appropriations,Subcommittee on Legislative Branch,Chairman,N/A
Committee on Appropriations,Subcommittee on Legislative Branch,John Boozman,AR
Committee on Appropriations,Subcommittee on Legislative Branch,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Legislative Branch,Markwayne Mullin,OK
Committee on Appropriations,Subcommittee on Legislative Branch,Deb Fischer,NE
Committee on Appropriations,Subcommittee on Legislative Branch,Jack Reed,RI
Committee on Appropriations,Subcommittee on Legislative Branch,Ranking Member,N/A
Committee on Appropriations,Subcommittee on Legislative Branch,Richard J. Durbin,IL
Committee on Appropriations,Subcommittee on Legislative Branch,Christopher A. Coons,DE
Committee on Appropriations,Subcommittee on Legislative Branch,Chris Van Hollen,MD
Committee on Appropriations,Subcommittee on Legislative Branch,Patty Murray,WA
Committee on Appropriations,Subcommittee on Legislative Branch,Ex Officio,N/A
Committee on Appropriations,Subcommittee on Military Construction. Veterans Affairs. and Related Agencies,Markwayne Mullin,OK
Committee on Appropriations,Subcommittee on Military Construction. Veterans Affairs. and Related Agencies,Chairman,N/A
Committee on Appropriations,Subcommittee on Military Construction. Veterans Affairs. and Related Agencies,Deb Fischer,NE
Committee on Appropriations,Subcommittee on Military Construction. Veterans Affairs. and Related Agencies,Mike Rounds,SD
Committee on Appropriations,Subcommittee on Military Construction. Veterans Affairs. and Related Agencies,Susan M. Collins,ME
Committee on Appropriations,Subcommittee on Military Construction. Veterans Affairs. and Related Agencies,Ex Officio,N/A
